region;statistic
Республика Карелия;189
Республика Коми;462
Архангельская область;552
Вологодская область;248
Калининградская область;109
Ленинградская область;4958
Мурманская область;1369
Новгородская область;93
Псковская область;73
Санкт-Петербург;807
